node_id,feature1,feature2,label
0,0.3264490031667171,0.16714488451691178,0
1,0.14413562526167523,0.45612701593262195,1
2,0.5067889904361091,0.9833141626192293,0
3,0.23945245845061802,0.12313770774551958,1
4,0.47625431921114214,0.7851817754591703,0
5,0.3188219826440296,0.8543620439348705,1
6,0.7077174160521786,0.430161016448284,1
7,0.09191118066185078,0.20435064330553687,0
8,0.4611757507169938,0.05491413329778272,1
9,0.18460613624019018,0.2727690127503609,0
10,0.12178021000447836,0.15334198712584235,0
11,0.9072214859167783,0.2620066699515152,1
12,0.4942939525464243,0.024345486093458546,0
13,0.183570182990467,0.5169537621696133,1
14,0.5790179980794092,0.4708366464603332,0
15,0.16390136466710858,0.17030447286415307,1
16,0.15566040314347562,0.6416875048104743,0
17,0.1429508464378071,0.21788915903173867,0
18,0.8811146642171687,0.050293289507087446,1
19,0.5848277723595734,0.42497372969891933,0
20,0.19361915023815834,0.16522847700686372,1
21,0.418672097021493,0.7546723149825882,0
22,0.28407407418198216,0.9208797992840735,1
23,0.3436341784373942,0.16524132143876735,1
24,0.7918717919151113,0.37767809784166206,0
25,0.9960683626437511,0.6373625227669496,0
26,0.5259804046303251,0.5985159379348207,0
27,0.8589046819900232,0.8270561233014054,0
28,0.47904666712039967,0.09421102654781832,0
29,0.7985182550222205,0.28609152035857566,1
30,0.8641331743841172,0.07063771637419725,0
31,0.17607750185052473,0.20887952395171627,0
32,0.6580873413537767,0.00975479698709858,1
33,0.33582676932212174,0.9534105465476401,1
34,0.9151462580444429,0.49282956109462894,1
35,0.16347791395598377,0.9506975137740196,1
36,0.06022412221798101,0.5817161830669386,1
37,0.04644874218799022,0.9099918436833919,1
38,0.6252710155553088,0.7207769261406141,1
39,0.4037034589755032,0.7637089029419861,1
40,0.20464600941162603,0.5579989064210729,1
41,0.61604644741814,0.6370603873012395,1
42,0.9067465317187734,0.4418872367370217,1
43,0.4072443974835249,0.16726116971788807,0
44,0.43871782921234037,0.2003379493978924,1
45,0.13667389996848933,0.9853894456883294,0
46,0.11860905139845734,0.30405090010896485,1
47,0.3359163127732099,0.4728119737845873,0
48,0.9979279913375122,0.33675723688098147,0
49,0.03006300166153042,0.27552392713577045,0
